Fecha;Aceites lubricantes;Asfalto;Bunker;Ceras;Combustible turbo jet;Diesel bajo azufre;Diesel ultra bajo azufre;Gas licuado de petróleo;Gasolina de aviación;Gasolina regular;Gasolina superior;Grasas lubricantes;Kerosina;"Mezclas
oleosas";Naftas;PetCoke;Petróleo crudo;Solventes;Butano;Diesel alto azufre;Orimulsión;Total
may/2002;0.00;27945.59;539547.91;0.00;0.00;0.00;0.00;201612.36;1671.92;201083.51;375054.64;0.00;52716.55;0.00;0.00;0.00;62407.67;0.00;0.00;707165.47;0.00;2169205.60
jun/2002;0.00;20228.04;456986.27;0.00;0.00;0.00;0.00;193024.40;638.92;187629.42;371138.59;0.00;50501.35;0.00;0.00;0.00;22963.62;0.00;0.00;667820.71;0.00;1970931.30
jul/2002;0.00;14042.27;492323.44;0.00;0.00;0.00;0.00;204196.24;2062.92;201692.64;399944.65;0.00;55179.82;0.00;0.00;0.00;48749.90;0.00;0.00;656761.60;0.00;2074953.47
ago/2002;0.00;13715.92;429935.51;0.00;0.00;0.00;0.00;213625.43;1825.92;205240.77;392355.62;0.00;51119.79;0.00;0.00;0.00;13351.58;0.00;0.00;657099.74;0.00;1978270.27
sep/2002;0.00;13512.87;381600.34;0.00;0.00;0.00;0.00;209849.76;1416.92;177614.80;347191.44;0.00;46923.97;0.00;0.00;0.00;49713.58;0.00;0.00;653664.60;0.00;1881488.26
oct/2002;0.00;10066.27;320349.21;0.00;0.00;0.00;0.00;212932.33;1834.92;203097.24;381595.20;0.00;61834.38;0.00;0.00;0.00;40876.58;0.00;0.00;653053.27;0.00;1885639.38
nov/2002;0.00;16772.08;438764.90;0.00;0.00;0.00;0.00;210000.55;1552.92;207629.81;384334.22;0.00;50783.20;0.00;0.00;0.00;43455.58;0.00;0.00;671401.33;0.00;2024694.57
dic/2002;0.00;13946.07;490960.95;0.00;0.00;0.00;0.00;223830.40;1397.92;199619.27;400645.42;0.00;55123.28;0.00;0.00;0.00;52341.58;0.00;0.00;676192.45;0.00;2114057.32
ene/2003;0.00;19127.77;459765.40;0.00;0.00;0.00;0.00;213268.98;2009.00;193713.62;376516.58;0.00;55260.55;0.00;0.00;0.00;23392.00;0.00;0.00;769843.30;0.00;2112897.20
feb/2003;0.00;34700.38;377181.42;0.00;0.00;0.00;0.00;206815.01;1166.00;184354.61;355760.81;0.00;45243.65;0.00;0.00;0.00;61772.00;0.00;0.00;709783.58;0.00;1976777.46
mar/2003;0.00;56138.58;516535.35;0.00;0.00;0.00;0.00;216427.95;2039.00;201443.37;361880.87;0.00;51161.05;0.00;0.00;0.00;94892.00;0.00;0.00;786484.49;0.00;2287002.66
abr/2003;0.00;47408.44;502634.98;0.00;0.00;0.00;0.00;204403.51;1469.00;219004.31;377395.17;0.00;50488.24;0.00;0.00;0.00;36935.00;0.00;0.00;709626.39;0.00;2149365.04
may/2003;0.00;49995.62;565746.99;0.00;0.00;0.00;0.00;216452.75;1387.00;200407.18;390624.27;0.00;50951.19;0.00;0.00;0.00;106406.00;0.00;0.00;755982.05;0.00;2337953.05
jun/2003;0.00;37720.89;410520.40;0.00;0.00;0.00;0.00;212069.04;1309.00;168327.72;346941.84;0.00;50662.66;0.00;0.00;0.00;61528.00;0.00;0.00;641540.08;0.00;1930619.63
jul/2003;0.00;38616.19;438350.49;0.00;0.00;0.00;0.00;231172.01;1662.00;174317.57;377178.84;0.00;59604.95;0.00;0.00;0.00;57764.00;0.00;0.00;631704.12;0.00;2010370.17
ago/2003;0.00;35878.39;464485.57;0.00;0.00;0.00;0.00;222312.71;1152.00;171665.05;355682.72;0.00;54601.10;0.00;0.00;0.00;40642.00;0.00;0.00;613428.55;0.00;1959848.09
sep/2003;0.00;41167.35;357778.24;0.00;0.00;0.00;0.00;225703.05;1617.00;174757.95;348659.02;0.00;52876.98;0.00;0.00;0.00;61611.60;0.00;0.00;582989.47;0.00;1847160.66
oct/2003;0.00;32848.56;614187.67;0.00;0.00;0.00;0.00;239665.04;1115.00;209314.45;392041.78;0.00;54999.76;0.00;0.00;0.00;52466.00;0.00;0.00;722763.60;0.00;2319401.86
nov/2003;0.00;38513.22;697861.80;0.00;0.00;0.00;0.00;229612.35;612.00;168510.00;330640.23;0.00;56216.77;0.00;0.00;0.00;65943.03;0.00;0.00;639828.39;0.00;2227737.79
dic/2003;0.00;31050.77;340583.67;0.00;0.00;0.00;0.00;247544.64;903.00;196081.99;391327.66;0.00;61415.10;0.00;0.00;0.00;58499.66;0.00;0.00;652872.45;0.00;1980278.94
ene/2004;0.00;31681.40;430693.77;0.00;0.00;0.00;0.00;235284.97;1295.00;203975.57;381547.72;0.00;54764.80;0.00;0.00;83419.99;87146.00;0.00;0.00;656987.40;0.00;2166796.61
feb/2004;0.00;34556.73;381997.15;0.00;0.00;0.00;0.00;213288.68;2734.00;180290.24;339576.46;0.00;50279.30;0.00;0.00;40040.00;74043.00;0.00;0.00;659540.43;48278.00;2024623.99
mar/2004;0.00;39057.06;426729.00;0.00;0.00;0.00;0.00;233426.35;1238.00;206455.62;379687.46;0.00;57919.10;0.00;0.00;47740.00;59087.00;0.00;0.00;746236.84;113372.00;2310948.43
abr/2004;0.00;41073.00;368839.70;0.00;0.00;0.00;0.00;217530.88;1124.00;182379.92;357595.81;0.00;59607.60;0.00;0.00;63398.50;34697.00;0.00;0.00;633766.06;146362.00;2106374.47
may/2004;0.00;31988.71;400866.77;0.00;0.00;0.00;0.00;225959.05;968.00;160741.90;322596.73;0.00;60199.10;0.00;0.00;79761.00;52403.00;0.00;0.00;556369.70;176927.00;2068780.96
jun/2004;0.00;45451.10;335267.91;0.00;0.00;0.00;0.00;225673.46;776.00;164782.50;318811.50;0.00;55658.60;0.00;0.00;67864.50;60590.00;0.00;0.00;560393.48;161297.00;1996566.05
jul/2004;0.00;29127.74;320546.15;0.00;0.00;0.00;0.00;243064.07;1725.00;182642.41;346413.66;0.00;68394.80;0.00;0.00;68343.00;39999.00;0.00;0.00;583098.55;176388.00;2059742.38
ago/2004;0.00;30990.92;333848.59;0.00;0.00;0.00;0.00;236324.77;759.00;207432.80;390304.28;0.00;62772.70;0.00;0.00;64845.00;40389.00;0.00;0.00;699610.80;184302.00;2251579.86
sep/2004;0.00;24259.26;376693.43;0.00;0.00;0.00;0.00;225204.18;1418.00;194240.55;364689.84;0.00;53387.80;0.00;0.00;0.00;26770.00;0.00;0.00;612639.57;174244.00;2053546.63
oct/2004;0.00;18477.29;323360.76;0.00;0.00;0.00;0.00;229626.06;1886.00;200323.53;380441.55;0.00;59383.30;0.00;0.00;130845.00;40583.00;0.00;0.00;619084.79;171384.00;2175395.28
nov/2004;0.00;18502.20;328267.45;0.00;0.00;0.00;0.00;225593.82;1435.00;214509.65;378498.60;0.00;56250.20;0.00;0.00;69437.50;37413.09;0.00;0.00;705298.16;158324.00;2193529.67
dic/2004;0.00;14061.36;289338.80;0.00;0.00;0.00;0.00;241915.01;1419.00;236733.03;429109.10;0.00;63695.80;0.00;0.00;79546.50;43894.00;0.00;0.00;761864.30;180450.00;2342026.90
ene/2005;0.00;17015.36;260522.63;0.00;48943.20;0.00;0.00;227154.97;1497.00;209901.60;321382.14;0.00;10015.10;0.00;0.00;98428.00;31108.09;0.00;0.00;724692.36;148655.00;2099315.45
feb/2005;0.00;29448.99;280847.96;0.00;39285.80;0.00;0.00;211814.38;1705.00;198775.61;375768.83;0.00;9557.40;0.00;0.00;64718.50;43384.28;0.00;0.00;717116.77;152244.00;2124667.52
mar/2005;0.00;38075.98;404657.12;0.00;48358.60;0.00;0.00;224387.03;1282.00;231358.58;410241.93;0.00;9416.30;0.00;0.00;92735.50;32149.00;0.00;0.00;802139.58;168846.00;2463647.62
abr/2005;0.00;40602.97;387064.14;0.00;39340.90;0.00;0.00;218555.21;917.00;225644.89;389737.16;0.00;5506.20;0.00;0.00;131785.50;47388.00;0.00;0.00;803996.93;182433.00;2472971.90
may/2005;0.00;40536.60;506432.44;0.00;36827.20;0.00;0.00;230568.15;1335.00;187048.26;343762.52;0.00;6820.90;0.00;0.00;129277.50;55515.00;0.00;0.00;715360.44;167907.00;2421391.01
jun/2005;0.00;39064.02;562186.30;0.00;44188.10;0.00;0.00;223151.26;1412.00;202161.79;351906.82;0.00;8013.70;0.00;0.00;69657.50;55190.00;0.00;0.00;681743.36;166798.00;2405472.85
jul/2005;0.00;34049.77;334178.36;0.00;50690.50;0.00;0.00;236140.08;1678.00;213821.77;389172.65;0.00;5335.40;0.00;0.00;64702.00;50986.00;0.00;0.00;678614.47;122064.00;2181433.00
ago/2005;0.00;29237.36;305370.13;0.00;47309.30;0.00;0.00;242734.74;1106.00;212696.38;396871.12;0.00;8509.90;0.00;0.00;86713.00;61600.00;0.00;0.00;693681.13;158944.00;2244773.06
sep/2005;0.00;26273.57;238571.81;0.00;40131.20;0.00;0.00;223283.87;1309.00;196776.87;378887.62;0.00;5904.70;0.00;0.00;87345.50;11689.00;0.00;0.00;666258.37;103761.00;1980192.51
oct/2005;0.00;5405.34;230464.40;0.00;49322.50;0.00;0.00;213139.58;996.00;192270.24;328052.56;0.00;7862.90;0.00;0.00;84210.50;7770.00;0.00;0.00;589830.24;91025.00;1800349.26
nov/2005;0.00;13712.31;302297.60;0.00;23955.90;0.00;0.00;222988.53;1624.00;185251.12;360869.14;0.00;7266.30;0.00;0.00;77429.00;35384.00;0.00;0.00;701255.47;183012.00;2115045.37
dic/2005;0.00;25971.31;285933.09;0.00;50005.00;0.00;0.00;225410.43;1457.00;241035.13;448688.52;0.00;8298.30;0.00;0.00;99434.50;51257.00;0.00;0.00;775027.20;163364.00;2375881.48
ene/2006;0.00;26454.21;271228.13;0.00;45851.00;0.00;0.00;217867.31;1307.00;211152.72;382078.88;0.00;7111.60;0.00;0.00;98549.00;38294.00;0.00;0.00;750946.36;163706.00;2214546.21
feb/2006;0.00;33494.00;228414.98;0.00;43198.90;0.00;0.00;212328.61;1735.00;200551.40;367944.25;0.00;6390.90;0.00;0.00;101057.00;43150.00;0.00;0.00;734530.76;152377.00;2125172.80
mar/2006;0.00;48745.00;338067.89;0.00;45311.90;0.00;0.00;232405.36;1585.00;233082.86;427567.58;0.00;7416.60;0.00;0.00;82582.50;29621.00;0.00;0.00;875047.29;151247.00;2472679.98
abr/2006;0.00;36478.00;445994.72;0.00;44322.20;0.00;0.00;207612.27;1497.00;223479.45;392050.29;0.00;8600.50;0.00;0.00;89331.00;59859.00;0.00;0.00;711185.23;29039.00;2249448.66
may/2006;0.00;40882.00;628053.53;0.00;44047.10;0.00;0.00;232489.83;1400.00;222710.90;379832.55;0.00;6151.30;0.00;0.00;96222.50;29498.00;0.00;0.00;734289.15;0.00;2415576.86
jun/2006;0.00;22806.00;399380.67;0.00;42531.90;0.00;0.00;236563.83;1362.00;196511.22;364359.35;0.00;3720.30;0.00;0.00;101684.00;30854.00;0.00;0.00;672428.87;0.00;2072202.14
jul/2006;0.00;34461.58;408695.20;0.00;43381.80;0.00;0.00;239767.85;1552.00;210255.70;392252.91;0.00;6128.60;0.00;0.00;97361.00;59117.27;0.00;0.00;684438.70;0.00;2177412.61
ago/2006;0.00;29068.07;412953.69;0.00;44489.50;0.00;0.00;245672.02;1942.00;211202.14;394585.28;0.00;7918.70;0.00;0.00;89875.50;42171.03;0.00;0.00;707219.69;1471.00;2188568.62
sep/2006;0.00;22311.30;283514.35;0.00;37449.20;0.00;0.00;256040.10;1576.00;204369.99;382724.97;0.00;6691.20;0.00;0.00;111782.00;39823.10;0.00;0.00;650791.38;0.00;1997073.59
oct/2006;0.00;25204.67;464238.85;0.00;37891.80;0.00;0.00;238514.63;1845.00;203061.39;400793.81;0.00;7884.20;0.00;0.00;48735.50;28499.79;0.00;0.00;683543.13;0.00;2140212.77
nov/2006;0.00;36772.97;523491.30;0.00;40998.50;0.00;0.00;228417.44;1618.91;205541.91;401922.57;0.00;7669.50;0.00;0.00;109186.00;21777.27;0.00;0.00;739181.99;0.00;2316578.36
dic/2006;0.00;27047.99;384849.54;0.00;51753.60;0.00;0.00;236333.11;1959.00;233936.83;454373.13;0.00;9049.50;0.00;0.00;110896.50;34342.70;0.00;0.00;776330.26;0.00;2320872.16
ene/2007;0.00;36112.06;481365.90;0.00;47659.20;0.00;0.00;217344.66;1657.00;216560.79;418412.86;0.00;9659.80;0.00;0.00;118327.00;55217.79;0.00;0.00;810372.66;0.00;2412689.72
feb/2007;0.00;35844.96;441178.90;0.00;42101.80;0.00;0.00;211149.36;1606.00;204991.91;401425.14;0.00;5162.40;0.00;0.00;89353.00;38218.66;0.00;0.00;799394.60;0.00;2270426.73
mar/2007;0.00;47101.77;537373.86;0.00;54082.40;0.00;0.00;264115.98;1665.00;239019.91;454731.09;0.00;7526.90;0.00;0.00;101887.50;57660.84;0.00;0.00;956680.19;0.00;2721845.44
abr/2007;0.00;38731.92;480634.06;0.00;44957.10;0.00;0.00;224818.88;1550.00;217536.23;403732.56;0.00;7512.60;0.00;0.00;91234.00;46865.77;0.00;0.00;758988.58;0.00;2316561.70
may/2007;0.00;44730.69;624648.80;0.00;46178.50;0.00;0.00;259749.48;1458.00;224400.73;426414.71;0.00;11518.60;0.00;0.00;78331.00;47491.42;0.00;0.00;811703.69;0.00;2576625.62
jun/2007;0.00;25509.90;666096.20;0.00;46459.40;0.00;0.00;244505.28;908.00;217473.91;390991.36;0.00;14318.30;0.00;0.00;83270.00;36586.80;0.00;0.00;720896.77;0.00;2447015.92
jul/2007;0.00;41652.90;680178.90;0.00;55620.50;0.00;0.00;261555.62;1381.00;219874.23;416497.41;0.00;11812.20;0.00;0.00;99957.00;66993.71;0.00;0.00;721550.61;0.00;2577074.08
ago/2007;0.00;32132.95;529257.62;0.00;50337.00;0.00;0.00;267634.12;1571.00;236565.57;411088.53;0.00;16179.40;0.00;0.00;117265.50;36100.50;0.00;0.00;736620.90;0.00;2434753.09
sep/2007;0.00;21666.59;374139.35;0.00;46392.80;0.00;0.00;254081.76;1243.00;207241.84;390568.99;0.00;9016.50;0.00;0.00;101530.00;48278.98;0.00;0.00;669587.88;0.00;2123747.69
oct/2007;0.00;23741.47;384625.95;0.00;50839.90;0.00;0.00;264936.66;1284.00;224750.77;419001.81;0.00;13724.20;0.00;0.00;105314.00;22628.56;0.00;0.00;738702.86;0.00;2249550.18
nov/2007;0.00;36281.17;515855.99;0.00;48631.60;0.00;0.00;250108.61;1477.00;218116.79;417490.77;0.00;13720.90;0.00;0.00;73557.00;52597.23;0.00;0.00;779547.05;0.00;2407384.11
dic/2007;0.00;36570.14;431419.38;0.00;52596.00;0.00;0.00;253659.53;1009.00;252394.11;438542.79;0.00;23241.60;0.00;0.00;100226.50;47879.57;0.00;0.00;768886.87;0.00;2406425.50
ene/2008;0.00;33627.86;433142.36;0.00;50760.20;0.00;0.00;252508.33;1989.20;213645.39;403266.74;0.00;23736.50;0.00;0.00;95308.84;43860.96;0.00;0.00;797668.91;0.00;2349515.29
feb/2008;0.00;27023.37;430602.16;0.00;49177.79;0.00;0.00;241978.08;1282.48;215873.67;407735.55;0.00;12268.80;0.00;0.00;59523.70;43795.41;0.00;0.00;794000.25;0.00;2283261.26
mar/2008;0.00;24535.08;433126.79;0.00;54474.23;0.00;0.00;247679.04;1282.24;233761.07;424157.28;0.00;11053.60;0.00;0.00;90591.99;33091.99;0.00;0.00;776026.79;0.00;2329780.09
abr/2008;0.00;28686.75;521002.28;0.00;50481.01;0.00;0.00;243178.03;1389.70;233687.28;399193.53;0.00;9701.10;0.00;0.00;107236.47;33710.99;0.00;0.00;807725.77;0.00;2435992.91
may/2008;0.00;30108.84;671159.46;0.00;40315.15;0.00;0.00;240798.46;1097.20;236635.85;390882.63;0.00;10184.30;0.00;0.00;108039.42;29039.12;0.00;0.00;682326.18;0.00;2440586.60
jun/2008;0.00;13816.19;512787.44;0.00;45117.89;0.00;0.00;242422.57;961.50;200656.57;337464.32;0.00;9387.80;0.00;0.00;109057.41;24325.03;0.00;0.00;507662.65;0.00;2003659.37
jul/2008;0.00;13246.41;374959.04;0.00;53791.45;0.00;0.00;243531.97;1376.00;228640.21;374847.05;0.00;12510.70;0.00;0.00;85805.50;20392.63;0.00;0.00;544399.26;0.00;1953500.22
ago/2008;0.00;17823.81;340442.84;0.00;52969.79;0.00;0.00;237062.52;1296.43;227499.00;378363.76;0.00;5642.20;0.00;0.00;57263.20;27582.41;0.00;0.00;556174.40;0.00;1902120.35
sep/2008;0.00;12370.70;312823.32;0.00;44179.04;0.00;0.00;225262.46;1432.72;218214.64;367962.73;0.00;5890.80;0.00;0.00;103737.26;27685.65;0.00;0.00;557802.62;0.00;1877361.94
oct/2008;0.00;16819.09;327371.38;0.00;43407.77;0.00;0.00;263100.50;1192.71;238955.44;386430.40;0.00;4615.30;0.00;0.00;76022.98;19914.86;0.00;0.00;617863.13;0.00;1995693.56
nov/2008;0.00;29048.29;340754.09;0.00;43778.49;0.00;0.00;230092.62;737.48;238626.16;375438.69;0.00;5666.50;0.00;0.00;69055.69;40840.89;0.00;0.00;688104.11;0.00;2062143.01
dic/2008;0.00;28541.85;327040.51;0.00;47251.99;0.00;0.00;245852.65;1661.95;298245.47;463343.73;0.00;12981.90;0.00;0.00;10382.57;41920.97;0.00;0.00;778953.84;0.00;2256177.43
ene/2009;0.00;31963.02;454789.92;0.00;44522.53;0.00;0.00;217372.42;1198.70;273494.16;424264.50;0.00;9922.80;0.00;0.00;94486.37;43188.98;0.00;0.00;800526.47;0.00;2395729.87
feb/2009;0.00;38311.50;387416.95;0.00;38201.07;0.00;0.00;212038.24;1009.24;254667.70;424438.71;0.00;6520.70;0.00;0.00;95799.17;52862.62;0.00;0.00;795050.51;0.00;2306316.41
mar/2009;0.00;59263.86;401630.02;0.00;42318.13;0.00;0.00;235475.32;1385.24;290343.28;434248.69;0.00;8252.90;0.00;0.00;98162.74;70567.18;0.00;0.00;865981.57;0.00;2507628.92
abr/2009;0.00;48545.41;643776.55;0.00;42656.39;0.00;0.00;209739.17;1018.24;290887.08;454265.40;0.00;9120.70;0.00;0.00;97879.98;53545.56;0.00;0.00;822109.74;0.00;2673544.22
may/2009;0.00;48882.92;682916.87;0.00;35798.11;0.00;0.00;221884.47;1357.90;276970.67;432401.49;0.00;7861.70;0.00;0.00;101914.67;60585.75;0.00;0.00;770687.28;0.00;2641261.83
jun/2009;0.00;27918.98;586246.02;0.00;44548.27;0.00;0.00;221329.63;822.80;252551.99;393140.38;0.00;4161.60;0.00;0.00;91670.87;37437.64;0.00;0.00;703815.55;0.00;2363643.72
jul/2009;0.00;37350.91;450992.66;0.00;46313.51;0.00;0.00;241510.20;1649.10;283142.05;435256.09;0.00;11172.60;0.00;0.00;110163.57;55471.15;0.00;0.00;740868.09;0.00;2413889.93
ago/2009;0.00;32129.06;535359.83;0.00;39851.20;0.00;0.00;232174.11;1458.48;267830.84;409182.96;0.00;10701.30;0.00;0.00;74197.31;37735.48;0.00;0.00;692376.70;0.00;2332997.27
sep/2009;0.00;31422.61;545203.30;0.00;34686.54;0.00;0.00;225886.43;1285.30;248994.42;420238.71;0.00;7926.60;0.00;0.00;72632.73;29161.17;0.00;0.00;687435.10;0.00;2304872.90
oct/2009;0.00;25594.66;643683.55;0.00;37554.44;0.00;0.00;235899.13;1003.00;269008.52;421753.29;0.00;10994.00;0.00;0.00;94084.43;54414.00;0.00;0.00;775739.56;0.00;2569728.58
nov/2009;0.00;44273.35;525804.80;0.00;37672.79;0.00;0.00;232172.83;1412.90;212149.91;391754.81;0.00;15251.90;0.00;0.00;77337.32;42512.45;0.00;0.00;738678.65;0.00;2319021.70
dic/2009;0.00;31718.72;457616.74;0.00;44690.11;0.00;0.00;215923.38;1461.00;296805.29;449842.29;0.00;10317.60;0.00;0.00;80620.82;50398.46;0.00;0.00;891670.41;0.00;2531064.81
ene/2010;0.00;31511.41;391820.19;0.00;41227.21;0.00;0.00;228078.62;850.00;243341.49;389068.41;0.00;10204.30;0.00;0.00;83732.94;32292.30;0.00;0.00;777741.34;0.00;2229868.21
feb/2010;0.00;30767.71;451749.94;0.00;35844.67;0.00;0.00;214409.69;1397.00;248207.93;391195.69;0.00;9408.70;0.00;0.00;91255.01;30991.63;0.00;0.00;807692.10;0.00;2312920.07
mar/2010;0.00;27017.08;384792.99;0.00;44598.50;0.00;0.00;242081.59;1329.00;320985.41;465664.59;0.00;33330.70;0.00;0.00;79706.61;55580.16;0.00;0.00;1017058.18;0.00;2672144.80
abr/2010;0.00;24699.45;331373.92;0.00;45127.02;0.00;0.00;216150.67;1098.00;254872.61;387063.18;0.00;3894.50;0.00;0.00;77061.27;24069.94;0.00;0.00;762770.01;0.00;2128180.57
may/2010;0.00;20105.26;365270.01;0.00;37381.07;0.00;0.00;215523.54;957.00;238903.31;381811.18;0.00;4776.00;0.00;0.00;87377.40;55436.64;0.00;0.00;721668.18;0.00;2129209.59
jun/2010;0.00;13669.01;344237.89;0.00;38418.83;0.00;0.00;226415.07;940.00;251896.39;385981.10;0.00;9185.70;0.00;0.00;86113.28;55113.23;0.00;0.00;683236.54;0.00;2095207.04
jul/2010;0.00;10977.10;291849.33;0.00;47085.53;0.00;0.00;243063.35;1094.00;278700.49;422481.80;0.00;8863.10;0.00;0.00;45959.65;38570.85;0.00;0.00;721584.60;0.00;2110229.80
ago/2010;0.00;10044.77;212469.47;0.00;45197.12;0.00;0.00;245908.42;1279.00;268917.79;410176.39;0.00;6961.30;0.00;0.00;95323.09;12877.01;0.00;0.00;695796.33;0.00;2004950.68
